"","pid","year","mean_temp_grid","total_rain_grid","Jan_temp_grid","Feb_temp_grid","Mar_temp_grid","Jan_rain_grid","Feb_rain_grid","Mar_rain_grid","max_humid_ncdc","min_humid_ncdc","Jan_humid_ncdc","Feb_humid_ncdc","Mar_humid_ncdc","max_temp_ncdc","min_temp_ncdc","Jan_temp_ncdc","Feb_temp_ncdc","Mar_temp_ncdc","Jan_temp_noaa","Feb_temp_noaa","Mar_temp_noaa","total_rain_noaa","max_rain_noaa","Jan_rain_max","Feb_rain_max","Mar_rain_max","Jan_rain_total","Feb_rain_total","Mar_rain_total"
"1","TH01",2000,22.5120010375977,213.431259945035,22.0800033569336,23.7500015258789,26.8399978637696,34.1541544198991,42.1791678667068,125.769296169281,91.7032894736842,42.0703947368421,93.5741935483871,89.8448275862069,84.4161290322581,30.8138157894737,17.1046052631579,30.5387096774194,31.9620689655172,34.4225806451613,NA,NA,NA,76,39.9,0,2.5,39.9,0,3.3,45
"2","TH01",2001,23.9054992675781,95.6941193789244,22.1199966430664,25.1250015258789,28.604997253418,2.01503272354603,71.4247055053711,12.4641473889351,94.641059602649,47.0443708609272,96.4322580645161,94.025,88.1354838709677,31.6960264900662,17.7721854304636,30.8322580645161,33.5857142857143,34.3225806451613,33.0129032258065,NA,NA,NA,NA,0.8,NA,22.1,0.8,NA,34.4
"3","TH01",2002,23.0614990234375,69.6065689623356,21.8524948120117,23.9550033569336,27.1749969482422,14.1043195128441,7.04635536670685,30.0357141494751,91.5788079470199,41.8635761589404,94.6354838709677,91.1678571428571,82.2612903225806,31.2569536423841,17.4298013245033,28.8032258064516,33.1714285714286,36.2677419354839,NA,NA,NA,NA,NA,NA,6.6,0.3,NA,6.6,0.3
"4","TH01",2003,23.2229995727539,149.016209810972,21.0600067138672,24.3874984741211,28.5599990844727,9.31758257746696,26.8138113021851,59.0782289505006,94.4079470198675,52.8311258278146,96.4354838709677,94.3785714285714,89.0290322580645,30.7086092715232,18.5503311258278,27.7903225806452,31.6178571428571,35.5838709677419,NA,NA,NA,111,25.7,13.5,0,2.3,17.4,0,3.3
"5","TH01",2004,23.185498046875,60.1377995163202,21.3174987792969,25.1649948120117,28.6149917602539,5.37756785750388,0.957973375916481,48.7088005542755,92.8414473684211,38.9125,98.8903225806452,91.3896551724138,80.8064516129032,31.9651315789474,17.025,30.3806451612903,32.8206896551724,37.1032258064516,NA,NA,37.2258064516129,1.8,1,1,0,0.8,1,0,0.8
"6","TH01",2005,23.0334976196289,89.253891978413,22.1999984741211,25.2074905395508,27.5774932861328,1.69486834853888,25.3242645263672,58.0327347517015,92.487417218543,39.8867549668874,94.4838709677419,89.4607142857143,88.2161290322581,31.6476821192053,16.9940397350993,29.6451612903226,34.4,36.541935483871,NA,NA,NA,20.8,20.8,0,0,0,0,0,0
"7","TH01",2006,23.6234970092774,181.010696918704,22.5999923706055,25.4374938964844,27.2650009155274,5.94559346139432,23.7622678279877,129.632514953613,94.8609271523179,42.6615894039735,97.9193548387097,95.1285714285714,88.058064516129,31.4609271523179,18.4317880794702,29.3096774193548,32.6071428571429,36.7677419354839,NA,NA,37.2516129032258,NA,NA,NA,NA,51.8,NA,NA,53.6
"8","TH01",2007,22.8370010375977,76.6246686205267,21.0699935913086,24.5150085449219,27.9000030517578,3.99908339977266,4.00337100028992,65.4736847877501,93.3894039735099,35.2920529801325,97.2258064516129,92.7785714285714,83.7677419354839,31.5887417218543,16.4728476821192,29.5322580645161,32.1607142857143,36.6483870967742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","TH01",2008,23.3300003051758,158.448933477048,21.8449951171875,24.8275009155274,27.984994506836,23.6911008358002,11.7050786614418,95.3570265769958,93.696052631579,37.6171052631579,96.4645161290323,93.4344827586207,85.8516129032258,31.0796052631579,17.0730263157895,29.7193548387097,31.5655172413793,35.558064516129,31.3709677419355,NA,36.2032258064516,NA,NA,3,20.3,3,3.5,24.4,3.3
"10","TH01",2009,22.978500366211,96.554117342923,22.725,25.0874954223633,27.1400009155274,0.0689995964057742,26.9248251914978,61.6026980876924,93.1364238410596,36.4278145695364,96.2064516129032,92.3535714285714,86.3709677419355,31.1490066225166,17.046357615894,28.9258064516129,33.4285714285714,35.6193548387097,NA,35.2,36.2193548387097,NA,NA,NA,NA,21.1,NA,NA,51.3
