"","X","ISO","date_sick_month","date_sick_year","count"
"1",1,10,1,1999,466
"2",2,10,2,1999,384
"3",3,10,3,1999,406
"4",4,10,4,1999,263
"5",5,10,5,1999,374
"6",6,10,6,1999,654
"7",7,10,7,1999,611
"8",8,10,8,1999,554
"9",9,10,9,1999,383
"10",10,10,10,1999,312
"11",11,10,11,1999,275
"12",12,10,12,1999,176
"13",13,11,1,1999,49
"14",14,11,2,1999,50
"15",15,11,3,1999,70
"16",16,11,4,1999,50
"17",17,11,5,1999,69
"18",18,11,6,1999,91
"19",19,11,7,1999,57
"20",20,11,8,1999,46
"21",21,11,9,1999,36
"22",22,11,10,1999,27
"23",23,11,11,1999,29
"24",24,11,12,1999,11
"25",25,12,1,1999,71
"26",26,12,2,1999,59
"27",27,12,3,1999,76
"28",28,12,4,1999,41
"29",29,12,5,1999,47
"30",30,12,6,1999,59
"31",31,12,7,1999,68
"32",32,12,8,1999,32
"33",33,12,9,1999,29
"34",34,12,10,1999,22
"35",35,12,11,1999,21
"36",36,12,12,1999,15
"37",37,13,1,1999,32
"38",38,13,2,1999,24
"39",39,13,3,1999,36
"40",40,13,4,1999,38
"41",41,13,5,1999,64
"42",42,13,6,1999,93
"43",43,13,7,1999,95
"44",44,13,8,1999,66
"45",45,13,9,1999,43
"46",46,13,10,1999,36
"47",47,13,11,1999,19
"48",48,13,12,1999,16
"49",49,14,1,1999,13
"50",50,14,2,1999,19
"51",51,14,3,1999,23
"52",52,14,4,1999,40
"53",53,14,5,1999,61
"54",54,14,6,1999,179
"55",55,14,7,1999,96
"56",56,14,8,1999,52
"57",57,14,9,1999,30
"58",58,14,10,1999,26
"59",59,14,11,1999,13
"60",60,14,12,1999,5
"61",61,15,1,1999,4
"62",62,15,2,1999,1
"63",63,15,3,1999,20
"64",64,15,4,1999,22
"65",65,15,5,1999,30
"66",66,15,6,1999,63
"67",67,15,7,1999,22
"68",68,15,8,1999,12
"69",69,15,9,1999,10
"70",70,15,10,1999,9
"71",71,15,11,1999,5
"72",72,16,1,1999,12
"73",73,16,2,1999,11
"74",74,16,3,1999,13
"75",75,16,4,1999,25
"76",76,16,5,1999,68
"77",77,16,6,1999,88
"78",78,16,7,1999,67
"79",79,16,8,1999,65
"80",80,16,9,1999,32
"81",81,16,10,1999,39
"82",82,16,11,1999,19
"83",83,16,12,1999,9
"84",84,17,1,1999,3
"85",85,17,2,1999,3
"86",86,17,3,1999,4
"87",87,17,4,1999,3
"88",88,17,5,1999,9
"89",89,17,6,1999,21
"90",90,17,7,1999,18
"91",91,17,8,1999,16
"92",92,17,9,1999,7
"93",93,17,10,1999,3
