"","ISO","date_sick_month","date_sick_year","count"
"1",10,1,1999,466
"2",10,2,1999,384
"3",10,3,1999,406
"4",10,4,1999,263
"5",10,5,1999,374
"6",10,6,1999,654
"7",10,7,1999,611
"8",10,8,1999,554
"9",10,9,1999,383
"10",10,10,1999,312
"11",10,11,1999,275
"12",10,12,1999,176
"13",11,1,1999,49
"14",11,2,1999,50
"15",11,3,1999,70
"16",11,4,1999,50
"17",11,5,1999,69
"18",11,6,1999,91
"19",11,7,1999,57
"20",11,8,1999,46
"21",11,9,1999,36
"22",11,10,1999,27
"23",11,11,1999,29
"24",11,12,1999,11
"25",12,1,1999,71
"26",12,2,1999,59
"27",12,3,1999,76
"28",12,4,1999,41
"29",12,5,1999,47
"30",12,6,1999,59
"31",12,7,1999,68
"32",12,8,1999,32
"33",12,9,1999,29
"34",12,10,1999,22
"35",12,11,1999,21
"36",12,12,1999,15
"37",13,1,1999,32
"38",13,2,1999,24
"39",13,3,1999,36
"40",13,4,1999,38
"41",13,5,1999,64
"42",13,6,1999,93
"43",13,7,1999,95
"44",13,8,1999,66
"45",13,9,1999,43
"46",13,10,1999,36
"47",13,11,1999,19
"48",13,12,1999,16
"49",14,1,1999,13
"50",14,2,1999,19
"51",14,3,1999,23
"52",14,4,1999,40
"53",14,5,1999,61
"54",14,6,1999,179
"55",14,7,1999,96
"56",14,8,1999,52
"57",14,9,1999,30
"58",14,10,1999,26
"59",14,11,1999,13
"60",14,12,1999,5
"61",15,1,1999,4
"62",15,2,1999,1
"63",15,3,1999,20
"64",15,4,1999,22
"65",15,5,1999,30
"66",15,6,1999,63
"67",15,7,1999,22
"68",15,8,1999,12
"69",15,9,1999,10
"70",15,10,1999,9
"71",15,11,1999,5
"72",16,1,1999,12
"73",16,2,1999,11
"74",16,3,1999,13
"75",16,4,1999,25
"76",16,5,1999,68
"77",16,6,1999,88
"78",16,7,1999,67
"79",16,8,1999,65
"80",16,9,1999,32
"81",16,10,1999,39
"82",16,11,1999,19
"83",16,12,1999,9
"84",17,1,1999,3
"85",17,2,1999,3
"86",17,3,1999,4
"87",17,4,1999,3
"88",17,5,1999,9
"89",17,6,1999,21
"90",17,7,1999,18
"91",17,8,1999,16
"92",17,9,1999,7
"93",17,10,1999,3
"94",17,11,1999,4
"95",18,1,1999,4
"96",18,2,1999,5
"97",18,3,1999,14
"98",18,4,1999,22
"99",18,5,1999,26
"100",18,6,1999,26
"101",18,7,1999,24
"102",18,8,1999,19
"103",18,9,1999,20
"104",18,10,1999,10
"105",18,11,1999,7
"106",18,12,1999,4
