"","Province","HASC","ISO","FIPS","Reg","Population","Area_km","Area_mi","oldFileProvinceName","province","MOPH_Admin_Code","ODPC_Code","alt_prov_name","longitude","latitude","geo_reg"
"1","Bangkok Metropolis","TH.BM",10,"TH40","C",8305218,1569,606,"KrungThep",10,0,1,"Bangkok",100.6244261,13.77183155,"C"
"2","Samut Prakan","TH.SP",11,"TH42","C",1828694,1004,388,"SamutPrakan",11,6,3,"Samutprakarn",100.7109476,13.59649512,"C"
"3","Nonthaburi","TH.NO",12,"TH38","C",1334083,622,240,"Nonthaburi",12,4,1,"Nonthaburi",100.3942898,13.9226046,"C"
"4","Pathum Thani","TH.PT",13,"TH39","C",1327147,1526,589,"PathumThani",13,4,1,"Pathumthani",100.6832572,14.064031,"C"
"5","Phra Nakhon Si Ayutthaya","TH.PA",14,"TH36","C",870671,2557,987,"PhraNakhonSiAyutthaya",14,4,1,"Ayutthaya",100.5280876,14.34411504,"C"
"6","Ang Thong","TH.AT",15,"TH35","C",254292,968,374,"AngThong",15,4,2,"Angthong",100.3501749,14.62155937,"C"
"7","Lop Buri","TH.LB",16,"TH34","C",769925,6200,2394,"LopBuri",16,4,2,"Lopburi",100.9004031,15.09782527,"C"
"8","Sing Buri","TH.SB",17,"TH33","C",199982,823,318,"SingBuri",17,4,2,"Singburi",100.3474538,14.91259476,"C"
"9","Chai Nat","TH.CN",18,"TH32","C",305587,2470,954,"ChaiNat",18,3,8,"Chainat",100.0261152,15.13161696,"C"
"10","Saraburi","TH.SR",19,"TH37","C",717054,3577,1381,"Saraburi",19,4,2,"Saraburi",101.0153952,14.6285333,"C"
"11","Chon Buri","TH.CB",20,"TH46","E",1555358,4363,1685,"ChonBuri",20,6,3,"Chonburi",101.2042493,13.19412814,"E"
"12","Rayong","TH.RY",21,"TH47","E",821072,3552,1371,"Rayong",21,6,3,"Rayong",101.4266116,12.8557683,"E"
"13","Chanthaburi","TH.CT",22,"TH48","E",485611,6338,2447,"Chanthaburi",22,6,3,"Chanthaburi",102.1296733,12.88331852,"E"
"14","Trat","TH.TT",23,"TH49","E",247876,2819,1088,"Trat",23,6,3,"Trad",102.5374634,12.37216293,"E"
"15","Chachoengsao","TH.CC",24,"TH44","C",715603,5351,2066,"Chachoengsao",24,6,3,"Chachoengsao",101.4302884,13.60600725,"E"
"16","Prachin Buri","TH.PB",25,"TH74","C",546996,4762,1839,"PrachinBuri",25,6,3,"Prachinburi",101.6493631,14.05043094,"E"
"17","Nakhon Nayok","TH.NN",26,"TH43","C",246868,2122,819,"NakhonNayok",26,4,2,"Nakornnayok",101.1719498,14.2155332,"C"
"18","Sa Kaeo","TH.SK",27,"TH80","C",555961,7195,2778,"",27,6,3,"Srakaew",102.3224424,13.78469908,"E"
"19","Nakhon Ratchasima","TH.NR",30,"TH27","NE",2525975,20494,7913,"NakhonRatchasima",30,9,5,"Nakornrachasima",102.1105663,14.95727973,"NE"
"20","Buri Ram","TH.BR",31,"TH28","NE",1274921,10323,3986,"Buriram",31,9,5,"Burirum",102.9589597,14.81974584,"NE"
"21","Surin","TH.SU",32,"TH29","NE",1122900,8124,3137,"Surin",32,9,5,"Surin",103.6584139,14.88487665,"NE"
"22","Si Sa Ket","TH.SI",33,"TH30","NE",1055980,8840,3413,"Sisaket",33,10,7,"Srisaket",104.3713888,14.85594665,"NE"
"23","Ubon Ratchathani","TH.UR",34,"TH75","NE",1746790,15745,6079,"UbonRatchathani",34,10,7,"Ubolrachathani",105.1128713,15.18318778,"NE"
"24","Yasothon","TH.YS",35,"TH72","NE",487976,4162,1607,"Yasothon",35,10,7,"Yasothorn",104.341693,15.89590077,"NE"
"25","Chaiyaphum","TH.CY",36,"TH26","NE",963907,12778,4934,"Chaiyaphum",36,9,5,"Chaiyapum",101.8197264,16.03010523,"NE"
"26","Amnat Charoen","TH.AC",37,"TH77","NE",283732,3161,1221,"",37,10,7,"Amnatcharoen",104.7422193,15.89017971,"NE"
"27","Bueng Kan","TH.BK",38,"TH81","NE",362754,4305,1662,"",38,8,6,"Bungkan",NA,NA,"NE"
"28","Nong Bua Lam Phu","TH.NB",39,"TH79","NE",485974,3859,1490,"",39,8,6,"Nongbualampu",102.3038988,17.17931356,"NE"
"29","Khon Kaen","TH.KK",40,"TH22","NE",1741980,10886,4203,"KhonKaen",40,7,6,"Konkaen",102.5802936,16.4069946,"NE"
"30","Udon Thani","TH.UN",41,"TH76","NE",1288365,11730,4529,"UdonThani",41,8,6,"Udornthani",102.8677278,17.42364959,"NE"
"31","Loei","TH.LE",42,"TH18","NE",546028,11425,4411,"Loei",42,8,6,"Loei",101.6343656,17.40382327,"NE"
"32","Nong Khai","TH.NH",43,"TH17","NE",458772,3027,1169,"NongKhai",43,8,6,"Nongkai",103.3175923,18.05318396,"NE"
"33","Maha Sarakham","TH.MS",44,"TH24","NE",827639,5292,2043,"MahaSarakham",44,7,6,"Mahasarakam",103.1681683,15.99748506,"NE"
"34","Roi Et","TH.RE",45,"TH25","NE",1084985,8299,3204,"RoiEt",45,7,6,"Roiet",103.8163922,15.9181321,"NE"
"35","Kalasin","TH.KL",46,"TH23","NE",824538,6947,2682,"Kalasin",46,7,6,"Kalasin",103.6240181,16.62605332,"NE"
"36","Sakon Nakhon","TH.SN",47,"TH20","NE",941810,9606,3709,"SakonNakhon",47,8,7,"Sakolnakorn",103.8269613,17.3880933,"NE"
"37","Nakhon Phanom","TH.NF",48,"TH73","NE",583726,5513,2128,"NakhonPhanom",48,8,7,"Nakornpanom",104.4305795,17.38743892,"NE"
"38","Mukdahan","TH.MD",49,"TH78","NE",357339,4340,1676,"",49,10,7,"Mukdahan",104.5177367,16.56509804,"NE"
"39","Chiang Mai","TH.CM",50,"TH02","N",1737041,20107,7763,"ChiangMai",50,1,10,"Chiengmai",98.72837072,18.78930688,"N"
"40","Lamphun","TH.LN",51,"TH05","N",412741,4506,1740,"Lamphun",51,1,10,"Lampoon",98.95588331,18.11808217,"N"
"41","Lampang","TH.LG",52,"TH06","N",743143,12534,4839,"Lampang",52,1,10,"Lampang",99.51348753,18.32455396,"N"
"42","Uttaradit","TH.UD",53,"TH10","N",438578,7839,3027,"Uttaradit",53,2,9,"Uttradit",100.5186573,17.74741629,"N"
"43","Phrae","TH.PR",54,"TH07","N",427398,6539,2525,"Phrae",54,1,10,"Phrae",100.0679575,18.19949321,"N"
"44","Nan","TH.NA",55,"TH04","N",452814,11472,4429,"Nan",55,1,10,"Nan",100.8349011,18.84589903,"N"
"45","Phayao","TH.PY",56,"TH41","N",417380,6335,2446,"Phayao",56,1,10,"Phayao",100.1892965,19.23179348,"N"
"46","Chiang Rai","TH.CR",57,"TH03","N",1172928,11678,4509,"ChiangRai",57,1,10,"Chiengrai",99.8675265,19.84530881,"N"
"47","Mae Hong Son","TH.MH",58,"TH01","N",209153,12681,4896,"MaeHongSon",58,1,10,"Maehongsorn",98.03255256,18.80928419,"N"
"48","Nakhon Sawan","TH.NS",60,"TH16","N",992749,9598,3706,"NakhonSawan",60,3,8,"Nakornsawan",100.1529962,15.68248072,"C"
"49","Uthai Thani","TH.UT",61,"TH15","N",297493,6730,2599,"UthaiThani",61,3,8,"Uthaithani",99.47952634,15.34881718,"C"
"50","Kamphaeng Phet","TH.KP",62,"TH11","N",797391,8608,3323,"KamphaengPhet",62,3,8,"Kampangphet",99.53436928,16.33110764,"C"
"51","Tak","TH.TK",63,"TH08","N",526382,16407,6335,"Tak",63,2,9,"Tak",98.79105004,16.7149525,"W"
"52","Sukhothai","TH.SO",64,"TH09","N",629707,6596,2547,"Sukhothai",64,2,9,"Sukothai",99.71125131,17.25879416,"C"
"53","Phitsanulok","TH.PS",65,"TH12","N",912827,10816,4176,"Phitsanulok",65,2,9,"Pitsanulok",100.5445922,16.98223528,"C"
"54","Phichit","TH.PC",66,"TH13","N",548242,4531,1749,"Phichit",66,3,8,"Phichit",100.3454208,16.25818046,"C"
"55","Phetchabun","TH.PH",67,"TH14","N",940076,12668,4891,"Phetchabun",67,2,9,"Petchaboon",101.1469824,16.26221127,"C"
"56","Ratchaburi","TH.RT",70,"TH52","C",796748,5197,2006,"Ratchaburi",70,5,4,"Rachaburi",99.58084898,13.53340774,"W"
"57","Kanchanaburi","TH.KN",71,"TH50","C",801519,19483,7523,"Kanchanaburi",71,5,4,"Kanchanaburi",99.05011863,14.58217318,"W"
"58","Suphan Buri","TH.SH",72,"TH51","C",845561,5358,2069,"SuphanBuri",72,5,4,"Supanburi",99.89191784,14.60571693,"C"
"59","Nakhon Pathom","TH.NP",73,"TH53","C",943892,2168,837,"NakhonPathom",73,5,4,"Nakornpathom",100.1056911,13.92579444,"C"
"60","Samut Sakhon","TH.SS",74,"TH55","C",887191,872,337,"SamutSakhon",74,5,4,"Samutsakorn",100.2133985,13.5695062,"C"
"61","Samut Songkhram","TH.SM",75,"TH54","C",185564,417,161,"SamutSongkhram",75,5,4,"Samutsongkram",99.95424937,13.39633698,"C"
"62","Phetchaburi","TH.PE",76,"TH56","C",472589,6225,2404,"Phetchaburi",76,5,4,"Petchburi",99.6193674,12.94654406,"W"
"63","Prachuap Khiri Khan","TH.PK",77,"TH57","C",467466,6368,2459,"PrachuapKhiriKhan",77,5,4,"Prachaubkirikan",99.63546908,11.94641473,"W"
"64","Nakhon Si Thammarat","TH.NT",80,"TH64","S",1450466,9943,3839,"NakhonSiThammarat",80,11,11,"Nakornsrithamarat",99.7868122,8.380995251,"S"
"65","Krabi","TH.KR",81,"TH63","S",362203,4709,1818,"Krabi",81,11,11,"Krabi",99.01803583,8.183575976,"S"
"66","Phangnga","TH.PG",82,"TH61","S",258535,4171,1610,"Phangnga",82,11,11,"Pangnga",98.42455962,8.675726509,"S"
"67","Phuket","TH.PU",83,"TH62","S",525709,543,210,"Phuket",83,11,11,"Phuket",98.34408541,7.972975956,"S"
"68","Surat Thani","TH.ST",84,"TH60","S",1009351,12892,4977,"SuratThani",84,11,11,"Suratthani",99.05998429,9.033142363,"S"
"69","Ranong","TH.RN",85,"TH59","S",249017,3298,1273,"Ranong",85,11,11,"Ranong",98.70587749,9.970920167,"S"
"70","Chumphon","TH.CP",86,"TH58","S",467801,6009,2320,"Chumphon",86,11,11,"Chumporn",99.06236766,10.34516902,"S"
"71","Songkhla","TH.SG",90,"TH68","S",1481021,7394,2855,"Songkhla",90,12,12,"Songkla",100.5834373,6.808730113,"S"
"72","Satun","TH.SA",91,"TH67","S",274863,2479,957,"Satun",91,12,12,"Satun",99.96701314,6.848518358,"S"
"73","Trang","TH.TG",92,"TH65","S",598877,4918,1899,"Trang",92,12,12,"Trang",99.60784188,7.540079955,"S"
"74","Phatthalung","TH.PL",93,"TH66","S",480976,3425,1322,"Phatthalung",93,12,12,"Pattalung",100.0338996,7.513225226,"S"
"75","Pattani","TH.PI",94,"TH69","S",609015,1940,749,"Pattani",94,12,12,"Pattani",101.3515,6.730497038,"S"
"76","Yala","TH.YL",95,"TH70","S",433167,4521,1746,"Yala",95,12,12,"Yala",101.2300903,6.194059631,"S"
"77","Narathiwat","TH.NW",96,"TH31","S",670002,4475,1728,"Narathiwat",96,12,12,"Narathiwat",101.7195263,6.179233628,"S"
